,precision,recall,f1-score,support
0,0.8848509595753369,0.877327935222672,0.8810733889001829,4940.0
1,0.8792588164973102,0.8866787221217601,0.882953181272509,4977.0
accuracy,0.8820207724110114,0.8820207724110114,0.8820207724110114,0.8820207724110114
macro avg,0.8820548880363235,0.8820033286722161,0.882013285086346,9917.0
weighted avg,0.8820444559856082,0.8820207724110114,0.8820167918080246,9917.0
