,precision,recall,f1-score,support
0,0.8994378513429107,0.8744939271255061,0.8867905162680899,4940.0
1,0.8787641767696519,0.9029535864978903,0.8906946784263204,4977.0
accuracy,0.8887768478370475,0.8887768478370475,0.8887768478370475,0.8887768478370475
macro avg,0.8891010140562813,0.8887237568116981,0.8887425973472052,9917.0
weighted avg,0.8890624476572085,0.8887768478370475,0.888749880497344,9917.0
